,learning_rate,momentum,test_accuracy
373,0.38,0.4,0.6554
374,0.38,0.5,0.6526
375,0.38,0.6,0.459
376,0.38,0.7,0.4595
377,0.38,0.8,0.4577
378,0.38,0.9,0.4532
379,0.38,1.0,0.3109
380,0.39,0.1,0.8293
381,0.39,0.2,0.7482
382,0.39,0.3,0.6579
383,0.39,0.4,0.6599
384,0.39,0.5,0.6578
385,0.39,0.6,0.4602
386,0.39,0.7,0.4601
387,0.39,0.8,0.4584
388,0.39,0.9,0.4567
389,0.39,1.0,0.3108
390,0.4,0.1,0.818
391,0.4,0.2,0.7465
392,0.4,0.3,0.7513
393,0.4,0.4,0.6507
394,0.4,0.5,0.5495
395,0.4,0.6,0.5681
396,0.4,0.7,0.459
397,0.4,0.8,0.4576
398,0.4,0.9,0.449
399,0.4,1.0,0.3438
400,0.41,0.1,0.8292
401,0.41,0.2,0.7507
402,0.41,0.3,0.7453
403,0.41,0.4,0.5704
404,0.41,0.5,0.6497
405,0.41,0.6,0.4613
406,0.41,0.7,0.4594
407,0.41,0.8,0.4503
408,0.41,0.9,0.4495
409,0.41,1.0,0.2989
410,0.42,0.1,0.7494
411,0.42,0.2,0.7502
412,0.42,0.3,0.6576
413,0.42,0.4,0.6621
414,0.42,0.5,0.6516
415,0.42,0.6,0.4506
416,0.42,0.7,0.4515
417,0.42,0.8,0.4556
418,0.42,0.9,0.4471
419,0.42,1.0,0.3067
420,0.43,0.1,0.7493
421,0.43,0.2,0.749
422,0.43,0.3,0.7479
423,0.43,0.4,0.6496
424,0.43,0.5,0.5701
425,0.43,0.6,0.4587
426,0.43,0.7,0.4532
427,0.43,0.8,0.4566
428,0.43,0.9,0.445
429,0.43,1.0,0.2935
430,0.44,0.1,0.7512
431,0.44,0.2,0.7471
432,0.44,0.3,0.6576
433,0.44,0.4,0.6567
434,0.44,0.5,0.5688
435,0.44,0.6,0.4502
436,0.44,0.7,0.4546
437,0.44,0.8,0.4563
438,0.44,0.9,0.44
439,0.44,1.0,0.2847
440,0.45,0.1,0.7504
441,0.45,0.2,0.7509
442,0.45,0.3,0.6588
443,0.45,0.4,0.6501
444,0.45,0.5,0.6557
445,0.45,0.6,0.4579
446,0.45,0.7,0.4455
447,0.45,0.8,0.4569
448,0.45,0.9,0.4427
449,0.45,1.0,0.3304
450,0.46,0.1,0.7469
451,0.46,0.2,0.7508
452,0.46,0.3,0.6551
453,0.46,0.4,0.5495
454,0.46,0.5,0.4593
455,0.46,0.6,0.4526
456,0.46,0.7,0.4483
457,0.46,0.8,0.4571
458,0.46,0.9,0.3814
459,0.46,1.0,0.3221
460,0.47,0.1,0.748
461,0.47,0.2,0.6611
462,0.47,0.3,0.6589
463,0.47,0.4,0.5662
464,0.47,0.5,0.5412
465,0.47,0.6,0.4547
466,0.47,0.7,0.4563
467,0.47,0.8,0.4571
468,0.47,0.9,0.4502
469,0.47,1.0,0.284
470,0.48,0.1,0.7509
471,0.48,0.2,0.7501
472,0.48,0.3,0.6574
473,0.48,0.4,0.4573
474,0.48,0.5,0.5448
475,0.48,0.6,0.459
476,0.48,0.7,0.4583
477,0.48,0.8,0.4575
478,0.48,0.9,0.4523
479,0.48,1.0,0.3381
480,0.49,0.1,0.7491
481,0.49,0.2,0.7484
482,0.49,0.3,0.6573
483,0.49,0.4,0.5699
484,0.49,0.5,0.4588
485,0.49,0.6,0.4613
486,0.49,0.7,0.4574
487,0.49,0.8,0.4543
488,0.49,0.9,0.4489
489,0.49,1.0,0.3117
490,0.5,0.1,0.747
491,0.5,0.2,0.6616
492,0.5,0.3,0.6595
493,0.5,0.4,0.545
494,0.5,0.5,0.5674
